pathway,pval,padj,log2err,ES,NES,size,cell_type
Cholesterol biosynthesis,3.018487622089742e-7,3.0184876220897416e-6,0.674962860011025,-0.7517587274957002,-2.360493187438601,22,L6 IT
Cholesterol homeostasis,0.0031783508899382493,0.006356701779876499,0.24540017767951205,-0.44649351740048004,-1.7216503088526407,52,L6 IT
Fatty acid metabolism,0.2503114359272486,0.2781238176969429,0.02422015151574224,-0.21523292645176742,-1.0809773443791133,284,L6 IT
Lipid transport,0.814326375711575,0.814326375711575,0.011766362535968921,-0.2899991340948565,-0.7309079924621792,10,L6 IT
Mevalonate / isoprenoid,1.1083616963607859e-6,5.54180848180393e-6,0.6435518361507222,-0.648140218653021,-2.296853028171553,36,L6 IT
Phospholipid metabolism,0.165956749672346,0.2074459370904325,0.030389421538170813,-0.22173009105558808,-1.123728863249412,307,L6 IT
SREBP regulation,5.395109469214679e-5,1.3487773673036697e-4,0.557332238758646,-0.4850530918531017,-1.957163648027651,65,L6 IT
Sphingolipid metabolism,0.040919380114922514,0.06819896685820419,0.06579584520002262,-0.301047026736054,-1.3459691723382263,118,L6 IT
Steroid metabolism,0.153578697421981,0.2074459370904325,0.032334875372758844,-0.23877566943915138,-1.1523581514060226,202,L6 IT
Sterol biosynthesis,9.102917885292331e-6,3.0343059617641106e-5,0.5933254763964051,-0.5500531962672165,-2.1209697752216847,52,L6 IT
Cholesterol biosynthesis,0.008131776480400334,0.08131776480400335,0.1635601892446221,-0.5814138035693481,-1.7366220306962583,18,L6 IT Car3
Cholesterol homeostasis,0.07187827911857293,0.16355780377278956,0.05419084769701426,-0.36954141253805933,-1.3663415092195603,42,L6 IT Car3
Fatty acid metabolism,0.047452317331613376,0.16355780377278956,0.06278020101157625,0.25365779909437963,1.2497519388675373,248,L6 IT Car3
Lipid transport,0.4197840339375241,0.4664267043750268,0.019339728732533534,0.4251137155506304,1.030404926085718,9,L6 IT Car3
Mevalonate / isoprenoid,0.06048555881121808,0.16355780377278956,0.05916109687684638,-0.416276712963016,-1.432632686391133,31,L6 IT Car3
Phospholipid metabolism,0.2509301816590063,0.35847168808429475,0.02835203217809243,-0.21346867415547818,-1.0747118009938543,268,L6 IT Car3
SREBP regulation,0.12289739276703111,0.20482898794505186,0.040953211363906054,-0.3148422643045849,-1.2518412481759027,59,L6 IT Car3
Sphingolipid metabolism,0.6856990394877268,0.6856990394877268,0.014829290052387877,-0.20440258782847037,-0.8977329518377026,102,L6 IT Car3
Steroid metabolism,0.34668820678513734,0.4333602584814217,0.023294275743574025,-0.2195846884005691,-1.0422938931938412,170,L6 IT Car3
Sterol biosynthesis,0.08177890188639478,0.16355780377278956,0.05079212166675443,-0.36329813353296314,-1.349109084469525,43,L6 IT Car3
Cholesterol biosynthesis,0.7426663486763654,0.8569877255289415,0.015170906001737776,-0.2523970110751204,-0.8142228529262243,20,L6b
Cholesterol homeostasis,0.19949874686716793,0.613416599516519,0.02770761129256576,0.33448302530095,1.1954845957130549,39,L6b
